[14-Sep-2016 17:32:07 PRC] PHP Fatal error:  Class 'main\Psr4AutoloaderClass' not found in E:\www\tester\index.php on line 5
[14-Sep-2016 17:32:31 PRC] PHP Fatal error:  Class 'app\Index' not found in E:\www\tester\index.php on line 14
[14-Sep-2016 17:36:38 PRC] PHP Fatal error:  Class 'app\Index' not found in E:\www\tester\index.php on line 14
[14-Sep-2016 17:40:49 PRC] PHP Parse error:  syntax error, unexpected '(', expecting ',' or ';' in E:\www\tester\index.php on line 4
[14-Sep-2016 17:43:18 PRC] PHP Parse error:  syntax error, unexpected '(', expecting ',' or ';' in E:\www\tester\index.php on line 7
[14-Sep-2016 17:43:59 PRC] PHP Parse error:  syntax error, unexpected '(', expecting ',' or ';' in E:\www\tester\index.php on line 7
[14-Sep-2016 17:47:16 PRC] PHP Notice:  Use of undefined constant ROOT_APTH - assumed 'ROOT_APTH' in E:\www\tester\index.php on line 13
[14-Sep-2016 17:53:20 PRC] PHP Parse error:  syntax error, unexpected ''\\app\\'' (T_CONSTANT_ENCAPSED_STRING) in E:\www\tester\index.php on line 28
[14-Sep-2016 17:54:03 PRC] PHP Parse error:  syntax error, unexpected '"\\app\\"' (T_CONSTANT_ENCAPSED_STRING) in E:\www\tester\index.php on line 28
[14-Sep-2016 17:55:38 PRC] PHP Parse error:  syntax error, unexpected '"\\app\\"' (T_CONSTANT_ENCAPSED_STRING) in E:\www\tester\index.php on line 28
[14-Sep-2016 17:55:39 PRC] PHP Parse error:  syntax error, unexpected '"\\app\\"' (T_CONSTANT_ENCAPSED_STRING) in E:\www\tester\index.php on line 28
[14-Sep-2016 17:56:10 PRC] PHP Parse error:  syntax error, unexpected '"\\app\\"' (T_CONSTANT_ENCAPSED_STRING) in E:\www\tester\index.php on line 23
[14-Sep-2016 17:56:20 PRC] PHP Parse error:  syntax error, unexpected '"\\app\\"' (T_CONSTANT_ENCAPSED_STRING) in E:\www\tester\index.php on line 23
[14-Sep-2016 17:57:15 PRC] PHP Fatal error:  Class '\app\Index' not found in E:\www\tester\index.php on line 26
[14-Sep-2016 17:57:39 PRC] PHP Notice:  Undefined variable: method in E:\www\tester\index.php on line 27
[14-Sep-2016 17:57:39 PRC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, second array member is not a valid method in E:\www\tester\index.php on line 27
[14-Sep-2016 17:58:15 PRC] PHP Parse error:  syntax error, unexpected '"\\app\\"' (T_CONSTANT_ENCAPSED_STRING) in E:\www\tester\index.php on line 25
[14-Sep-2016 17:58:22 PRC] PHP Parse error:  syntax error, unexpected '"\\app\\"' (T_CONSTANT_ENCAPSED_STRING) in E:\www\tester\index.php on line 25
[14-Sep-2016 17:58:24 PRC] PHP Parse error:  syntax error, unexpected '"\\app\\"' (T_CONSTANT_ENCAPSED_STRING) in E:\www\tester\index.php on line 25
[14-Sep-2016 17:59:05 PRC] PHP Parse error:  syntax error, unexpected '"\\app\\"' (T_CONSTANT_ENCAPSED_STRING) in E:\www\tester\index.php on line 25
[14-Sep-2016 17:59:08 PRC] PHP Notice:  Undefined variable: obj in E:\www\tester\index.php on line 26
[14-Sep-2016 17:59:08 PRC] PHP Fatal error:  Class name must be a valid object or a string in E:\www\tester\index.php on line 26
[14-Sep-2016 18:20:20 PRC] PHP Fatal error:  Class 'system\Controller' not found in E:\www\tester\app\controller\index.php on line 3
[14-Sep-2016 18:20:48 PRC] PHP Warning:  end() expects parameter 1 to be array, string given in E:\www\tester\system\controller.php on line 6
[14-Sep-2016 18:20:48 PRC] PHP Warning:  require(E:\www\tester\app/template/indexhtml): failed to open stream: No such file or directory in E:\www\tester\system\controller.php on line 9
[14-Sep-2016 18:20:48 PRC] PHP Fatal error:  require(): Failed opening required 'E:\www\tester\app/template/indexhtml' (include_path='.;C:\php\pear') in E:\www\tester\system\controller.php on line 9
[14-Sep-2016 18:21:16 PRC] PHP Strict Standards:  Only variables should be passed by reference in E:\www\tester\system\controller.php on line 6
[14-Sep-2016 18:21:16 PRC] PHP Warning:  require(E:\www\tester\app/template/indexhtml): failed to open stream: No such file or directory in E:\www\tester\system\controller.php on line 9
[14-Sep-2016 18:21:16 PRC] PHP Fatal error:  require(): Failed opening required 'E:\www\tester\app/template/indexhtml' (include_path='.;C:\php\pear') in E:\www\tester\system\controller.php on line 9
[14-Sep-2016 18:21:46 PRC] PHP Warning:  require(E:\www\tester\app/template/indexhtml): failed to open stream: No such file or directory in E:\www\tester\system\controller.php on line 10
[14-Sep-2016 18:21:46 PRC] PHP Fatal error:  require(): Failed opening required 'E:\www\tester\app/template/indexhtml' (include_path='.;C:\php\pear') in E:\www\tester\system\controller.php on line 10
[14-Sep-2016 18:32:03 PRC] PHP Notice:  Undefined variable: abc in E:\www\tester\app\template\index.html on line 6
[14-Sep-2016 18:32:28 PRC] PHP Notice:  Undefined variable: abc in E:\www\tester\app\template\index.html on line 6
[14-Sep-2016 18:32:40 PRC] PHP Notice:  Undefined variable: abc in E:\www\tester\app\template\index.html on line 6
[14-Sep-2016 18:32:49 PRC] PHP Notice:  Undefined variable: abc in E:\www\tester\app\template\index.html on line 6
[14-Sep-2016 18:34:54 PRC] PHP Notice:  Undefined variable: abc in E:\www\tester\app\template\index.html on line 6
[18-Sep-2016 10:32:51 PRC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'app\Index' does not have a method 'index1' in E:\www\tester\index.php on line 12
[18-Sep-2016 11:07:38 PRC] PHP Notice:  Undefined variable: action不存在 in E:\www\tester\index.php on line 16
[18-Sep-2016 11:07:38 PRC] PHP Notice:  Undefined index: config in E:\www\tester\app\common\common.php on line 11
[18-Sep-2016 11:09:06 PRC] PHP Notice:  Undefined variable: action不存在 in E:\www\tester\index.php on line 16
[18-Sep-2016 11:09:06 PRC] PHP Notice:  Undefined index: config in E:\www\tester\app\common\common.php on line 12
[18-Sep-2016 11:09:07 PRC] PHP Notice:  Undefined variable: action不存在 in E:\www\tester\index.php on line 16
[18-Sep-2016 11:09:07 PRC] PHP Notice:  Undefined index: config in E:\www\tester\app\common\common.php on line 12
[18-Sep-2016 11:09:15 PRC] PHP Notice:  Undefined variable: action不存在 in E:\www\tester\index.php on line 16
[18-Sep-2016 11:09:15 PRC] PHP Notice:  Undefined index: config in E:\www\tester\app\common\common.php on line 12
[18-Sep-2016 11:09:31 PRC] PHP Notice:  Undefined variable: action不存在 in E:\www\tester\index.php on line 16
[18-Sep-2016 11:09:52 PRC] PHP Notice:  Undefined variable: action不存在 in E:\www\tester\index.php on line 16
[18-Sep-2016 11:09:52 PRC] PHP Notice:  Undefined index: config in E:\www\tester\app\common\common.php on line 16
[18-Sep-2016 11:09:58 PRC] PHP Notice:  Undefined variable: action不存在 in E:\www\tester\index.php on line 16
[18-Sep-2016 11:09:58 PRC] PHP Notice:  Undefined index: config in E:\www\tester\app\common\common.php on line 15
[18-Sep-2016 11:10:11 PRC] PHP Notice:  Undefined variable: action不存在 in E:\www\tester\index.php on line 16
[18-Sep-2016 11:10:11 PRC] PHP Notice:  Undefined index: config in E:\www\tester\app\common\common.php on line 15
[18-Sep-2016 11:10:33 PRC] PHP Notice:  Undefined variable: action不存在 in E:\www\tester\index.php on line 16
[18-Sep-2016 11:11:09 PRC] PHP Notice:  Undefined variable: action不存在 in E:\www\tester\index.php on line 16
[18-Sep-2016 11:11:41 PRC] PHP Notice:  Undefined variable: action不存在 in E:\www\tester\index.php on line 16
[18-Sep-2016 11:11:56 PRC] PHP Notice:  Undefined variable: action不存在 in E:\www\tester\index.php on line 16
[18-Sep-2016 11:14:34 PRC] PHP Notice:  Undefined variable: controller的方法 in E:\www\tester\index.php on line 16
[18-Sep-2016 11:14:34 PRC] PHP Notice:  Undefined variable: action不存在 in E:\www\tester\index.php on line 16
[18-Sep-2016 11:19:29 PRC] PHP Warning:  include(../system/autoload.php): failed to open stream: No such file or directory in E:\www\tester\init.php on line 6
[18-Sep-2016 11:19:29 PRC] PHP Warning:  include(): Failed opening '../system/autoload.php' for inclusion (include_path='.;C:\php\pear') in E:\www\tester\init.php on line 6
[18-Sep-2016 11:19:29 PRC] PHP Fatal error:  Class 'system\Psr4AutoloaderClass' not found in E:\www\tester\init.php on line 7
[21-Sep-2016 15:32:45 PRC] PHP Notice:  Undefined variable: proId in E:\www\tester\app\template\index.html on line 27
[21-Sep-2016 15:34:28 PRC] PHP Notice:  Undefined variable: proId in E:\www\tester\app\template\index.html on line 27
[21-Sep-2016 15:37:20 PRC] PHP Notice:  Undefined variable: proId in E:\www\tester\app\template\index.html on line 27
[21-Sep-2016 15:40:37 PRC] PHP Notice:  Undefined variable: proId in E:\www\tester\app\template\index.html on line 27
[21-Sep-2016 15:41:14 PRC] PHP Notice:  Undefined variable: proId in E:\www\tester\app\template\index.html on line 27
[21-Sep-2016 15:42:48 PRC] PHP Notice:  Undefined variable: proId in E:\www\tester\app\template\index.html on line 27
[21-Sep-2016 15:43:06 PRC] PHP Notice:  Undefined variable: proId in E:\www\tester\app\template\index.html on line 27
[21-Sep-2016 15:46:02 PRC] PHP Notice:  Undefined variable: proId in E:\www\tester\app\template\index.html on line 27
[21-Sep-2016 15:48:35 PRC] PHP Notice:  Undefined variable: proId in E:\www\tester\app\template\index.html on line 27
[21-Sep-2016 16:00:03 PRC] PHP Notice:  Undefined variable: proId in E:\www\tester\app\template\index.html on line 27
[21-Sep-2016 16:01:54 PRC] PHP Notice:  Undefined variable: proId in E:\www\tester\app\template\index.html on line 27
[21-Sep-2016 16:02:05 PRC] PHP Notice:  Undefined variable: proId in E:\www\tester\app\template\index.html on line 27
[21-Sep-2016 16:02:37 PRC] PHP Notice:  Undefined variable: proId in E:\www\tester\app\template\index.html on line 27
[21-Sep-2016 16:02:58 PRC] PHP Notice:  Undefined variable: proId in E:\www\tester\app\template\index.html on line 27
[21-Sep-2016 16:02:59 PRC] PHP Notice:  Undefined variable: proId in E:\www\tester\app\template\index.html on line 27
[21-Sep-2016 16:03:13 PRC] PHP Notice:  Undefined variable: proId in E:\www\tester\app\template\index.html on line 27
[21-Sep-2016 18:45:34 PRC] PHP Parse error:  syntax error, unexpected '{' in E:\www\tester\app\controller\tester.php on line 5
